beam id,distances
2,0.0041
2,0.003
2,0.004
2,0.0026
2,0.0017
2,0.0038
2,0.0034
2,0.006
2,0.0035
2,0.0046
2,0.0031
2,0.0001
2,0.0026
2,0.0033
2,0.0002
2,0.0039
2,0.0044
2,0.0032
2,0.0037
2,0.0026
2,0.0032
2,0.0028
2,0.0044
2,0.0001
2,0.0022
2,0.0039
2,0.0025
2,0.0041
2,0.003
2,0.001
2,0.0038
2,0.002
2,0.0037
2,0.004
2,0.0041
2,0.0043
2,0.0025
2,0.0042
2,0.0036
2,0.0037
2,0.0019
2,0.004
2,0.0026
2,0.004
2,0.0022
2,0.0027
2,0.003
2,0.0044
2,0.0012
2,0.003
2,0.0031
2,0.0027
2,0.0009
2,0.0044
2,0.0032
2,0.0036
2,0.0024
2,0.0005
2,0.0001
2,0.0021
2,0.0043
2,0.004
2,0.0009
2,0.0007
2,0.0031
2,0.0038
2,0.0002
2,0.0045
2,0.0031
2,0.0009
2,0.0034
2,0.0002
2,0.0003
2,0.0003
2,0.0028
2,0.0044
2,0.0004
2,0.0006
2,0.0024
2,0.004
2,0.0001
2,0.0028
2,0.0031
2,0.0003
2,0.004
2,0.0026
2,0.0005
2,0.0005
2,0.0018
2,0.0036
2,0.0032
2,0.0008
2,0.0023
2,0.0014
2,0.0016
2,0.0009
2,0.0003
2,0.0022
2,0.0008
2,0.0016
2,0.0021
2,0.0006
2,0.0026
2,0.0007
2,0.0023
2,0.005
2,0.0025
2,0.003
2,0.0008
2,0.002
2,0.0017
2,0.0006
2,0.0031
2,0.0029
2,0.0002
2,0.0026
2,0.0022
2,0.0046
2,0.0043
2,0.0025
2,0.0006
2,0.0002
2,0.0031
2,0.0024
2,0.0046
2,0.001
2,0.0022
2,0.0031
2,0.0005
2,0.0037
2,0.003
2,0.0003
2,0.0031
2,0.0029
2,0.003
2,0.002
2,0.0032
2,0.004
2,0.0041
2,0.0035
2,0.0035
2,0.0037
2,0.0031
2,0.0027
2,0.0017
2,0.003
2,0.0027
2,0.0017
2,0.0025
2,0.0028
2,0.0025
2,0.0022
2,0.0028
2,0.0028
2,0.0029
2,0.0022
2,0.0032
2,0.003
2,0.0035
2,0.0029
2,0.0024
2,0.0034
2,0.0035
2,0.0026
2,0.0033
2,0.0034
2,0.0036
2,0.0029
2,0.002
2,0.0017
2,0.0033
2,0.0028
2,0.0028
2,0.0032
2,0.0031
2,0.0034
2,0.0038
2,0.0032
2,0.0033
2,0.0022
2,0.0031
2,0.0033
2,0.0019
2,0.0026
2,0.0035
2,0.0026
2,0.0033
2,0.0034
2,0.0013
2,0.0019
2,0.0032
2,0.0025
2,0.0035
2,0.0037
2,0.0041
2,0.0038
2,0.0038
2,0.0041
2,0.0026
2,0.0022
2,0.004
2,0.0041
2,0.0036
2,0.0051
2,0.0035
2,0.0034
2,0.0032
2,0.0035
2,0.004
2,0.004
2,0.0048
2,0.004
2,0.0045
2,0.0034
2,0.0044
2,0.0036
2,0.0035
2,0.0034
2,0.0026
2,0.0044
2,0.0042
2,0.0044
2,0.0045
2,0.0052
2,0.0035
2,0.0029
2,0.0035
2,0.0038
2,0.004
2,0.0045
2,0.0033
2,0.0025
2,0.0033
2,0.0029
2,0.0029
2,0.004
2,0.0029
2,0.0038
2,0.0028
2,0.0038
2,0.0035
2,0.0047
2,0.0033
2,0.0044
2,0.0047
2,0.0037
2,0.0042
2,0.0044
2,0.0042
2,0.0032
2,0.0034
2,0.0033
2,0.004
2,0.0032
2,0.0041
2,0.0042
2,0.004
2,0.0043
2,0.0042
2,0.0036
2,0.005
2,0.0047
2,0.0048
2,0.0034
2,0.0043
2,0.0043
2,0.0031
2,0.0045
2,0.0047
2,0.0045
2,0.0037
2,0.005
2,0.005
2,0.0046
2,0.0065
2,0.0035
2,0.0041
2,0.0052
2,0.0054
2,0.0045
2,0.0034
2,0.0039
2,0.0055
2,0.0049
2,0.0054
2,0.0036
2,0.0047
2,0.0028
2,0.0053
2,0.0051
2,0.0051
2,0.0039
2,0.0047
2,0.005
2,0.0051
2,0.0036
2,0.0035
2,0.0037
2,0.0047
2,0.004
2,0.0049
2,0.0039
2,0.0028
2,0.0038
2,0.0034
2,0.005
2,0.0043
2,0.0056
2,0.0065
2,0.0045
2,0.0048
2,0.0045
2,0.0051
2,0.0054
2,0.0051
2,0.0048
2,0.0051
2,0.0055
2,0.0051
2,0.005
2,0.0059
2,0.005
2,0.0054
2,0.0041
2,0.0042
2,0.0038
2,0.0041
2,0.0053
2,0.0036
2,0.0105
2,0.017
2,0.0103
2,0.0108
2,0.0112
2,0.0076
2,0.008
2,0.0118
2,0.0173
2,0.0077
2,0.0082
2,0.0104
2,0.0115
2,0.0112
2,0.0108
2,0.0163
2,0.0108
2,0.0078
2,0.0116
2,0.0079
2,0.0102
2,0.0132
2,0.0106
2,0.0128
2,0.0154
2,0.0125
2,0.0105
2,0.0109
2,0.0082
2,0.0099
2,0.0126
2,0.0126
2,0.011
2,0.0126
2,0.0112
2,0.0124
2,0.0095
2,0.0091
2,0.0101
2,0.0139
2,0.0104
2,0.0119
2,0.0095
2,0.0083
2,0.0096
2,0.0104
2,0.0073
2,0.0083
2,0.0148
2,0.013
2,0.0164
2,0.0111
2,0.0099
2,0.0141
2,0.0159
2,0.012
2,0.0114
2,0.0143
2,0.0092
2,0.0123
2,0.013
2,0.0139
2,0.0122
2,0.0077
2,0.0079
2,0.0085
2,0.0112
2,0.0151
2,0.0123
2,0.0147
2,0.0071
2,0.0104
2,0.0078
2,0.0102
2,0.0087
2,0.0134
2,0.0086
2,0.009
2,0.01
2,0.0054
2,0.0077
2,0.0138
2,0.0133
2,0.0137
2,0.0134
2,0.013
2,0.0131
2,0.0152
2,0.0105
2,0.0092
2,0.0158
2,0.0126
2,0.0112
2,0.0077
2,0.0137
2,0.007
2,0.0151
2,0.0128
2,0.0123
2,0.0087
2,0.0117
2,0.0102
2,0.0101
2,0.0101
2,0.0102
2,0.0095
2,0.0126
2,0.0096
2,0.0056
2,0.0071
2,0.0099
2,0.0116
2,0.0158
2,0.0146
2,0.0091
2,0.0142
2,0.0117
2,0.0117
2,0.0101
2,0.0121
2,0.0142
2,0.0071
2,0.0109
2,0.0131
2,0.016
2,0.0082
2,0.0124
2,0.0079
2,0.0111
2,0.0153
2,0.0117
2,0.0092
2,0.0091
2,0.0162
2,0.0134
2,0.0139
2,0.0075
2,0.0095
2,0.0136
2,0.0169
2,0.0119
2,0.0057
2,0.0056
2,0.0126
2,0.0086
2,0.0097
2,0.0085
2,0.0082
2,0.0084
2,0.0177
2,0.0125
2,0.0091
2,0.0118
2,0.0094
2,0.0106
2,0.015
2,0.0104
2,0.0123
2,0.0068
2,0.0108
2,0.012
2,0.0143
2,0.0137
2,0.0101
2,0.0069
2,0.0151
2,0.0117
2,0.0104
2,0.0105
2,0.0118
2,0.0087
2,0.0091
2,0.0102
2,0.0121
2,0.0103
2,0.0084
2,0.011
2,0.0127
2,0.0125
2,0.0109
2,0.0142
2,0.009
2,0.0117
2,0.0176
2,0.0147
2,0.011
2,0.0082
2,0.0096
2,0.0111
2,0.0173
2,0.0099
2,0.0128
2,0.0115
2,0.0102
2,0.0133
2,0.0092
2,0.0096
2,0.0153
2,0.015
2,0.0101
2,0.0093
2,0.0154
2,0.0134
2,0.0156
2,0.0089
2,0.011
2,0.0082
2,0.0086
2,0.0087
2,0.0072
2,0.0065
2,0.0119
2,0.0137
2,0.0119
2,0.0166
2,0.008
2,0.0101
2,0.0124
2,0.0142
2,0.0091
2,0.0095
2,0.0145
2,0.011
2,0.0114
2,0.0087
2,0.0152
2,0.0077
2,0.0125
2,0.0105
2,0.0133
2,0.0111
2,0.0107
2,0.014
2,0.0102
2,0.0097
2,0.0068
2,0.0103
2,0.0141
2,0.0149
2,0.0125
2,0.0093
2,0.0128
2,0.0105
2,0.0141
2,0.0103
2,0.0142
2,0.0146
2,0.0123
2,0.0114
2,0.0079
2,0.0112
2,0.0116
2,0.0141
2,0.0113
2,0.0112
2,0.0081
2,0.0085
2,0.0099
2,0.013
2,0.0106
2,0.0076
2,0.0177
2,0.0071
2,0.0107
2,0.0161
2,0.0098
2,0.0094
2,0.0091
2,0.0134
2,0.0137
2,0.0101
2,0.015
2,0.0084
2,0.0088
2,0.0106
2,0.0139
2,0.0161
2,0.0082
2,0.0091
2,0.0088
2,0.0109
2,0.0129
2,0.009
2,0.0131
2,0.0096
2,0.0132
2,0.0139
2,0.01
2,0.0131
2,0.0128
2,0.0116
2,0.0136
2,0.0085
2,0.0115
2,0.0078
2,0.0134
2,0.0106
2,0.0085
2,0.0119
2,0.0157
2,0.0102
2,0.0086
2,0.0087
2,0.0095
2,0.0135
2,0.0078
2,0.0099
2,0.01
2,0.0067
2,0.0166
2,0.0104
2,0.0127
2,0.0109
2,0.0129
2,0.0112
2,0.01
2,0.0151
2,0.0144
2,0.0105
2,0.0105
2,0.0098
2,0.0135
2,0.0103
2,0.0102
2,0.0101
2,0.0109
2,0.01
2,0.0136
2,0.0104
2,0.0079
2,0.0125
2,0.0095
2,0.008
2,0.011
2,0.0098
2,0.0084
2,0.0127
2,0.011
2,0.0158
2,0.0139
2,0.0099
2,0.0114
2,0.0098
2,0.0072
2,0.0115
2,0.0135
2,0.0142
2,0.0109
2,0.0063
2,0.0097
2,0.0118
2,0.0145
2,0.0093
2,0.0129
2,0.0069
2,0.0102
2,0.0089
2,0.01
2,0.0121
2,0.0121
2,0.0172
2,0.013
2,0.0076
2,0.01
2,0.016
2,0.0066
2,0.0123
2,0.0152
2,0.0087
2,0.0098
2,0.009
2,0.0113
2,0.0086
2,0.0106
2,0.0101
2,0.0098
2,0.0087
2,0.0163
2,0.0149
2,0.0082
2,0.0171
2,0.0105
2,0.0067
2,0.0107
2,0.0105
2,0.0131
2,0.0114
2,0.0094
2,0.0125
2,0.009
2,0.0102
2,0.0084
2,0.0109
2,0.0141
2,0.0122
2,0.0069
2,0.0146
2,0.0105
2,0.0103
2,0.0123
2,0.0101
2,0.0085
2,0.0078
2,0.0064
2,0.0083
2,0.0121
2,0.013
2,0.0158
2,0.0105
2,0.0111
2,0.016
2,0.0104
2,0.0106
2,0.0098
2,0.0133
2,0.0076
2,0.0124
2,0.008
2,0.0129
2,0.0093
2,0.0133
2,0.0133
2,0.0066
2,0.012
2,0.0136
2,0.0158
2,0.0099
2,0.0096
2,0.0118
2,0.0145
2,0.0077
2,0.0168
2,0.0068
2,0.0101
2,0.0111
2,0.0148
2,0.0097
2,0.0076
2,0.0099
2,0.01
2,0.0093
2,0.0103
2,0.0164
2,0.0097
2,0.007
2,0.0103
2,0.0066
2,0.0091
2,0.0111
2,0.0116
2,0.0138
2,0.0089
2,0.0091
2,0.0071
2,0.0102
2,0.0082
2,0.0086
2,0.0116
2,0.0135
2,0.0063
2,0.0123
2,0.0086
2,0.0116
2,0.015
2,0.0115
2,0.0125
2,0.0132
2,0.0076
2,0.0106
2,0.0094
2,0.0116
2,0.011
2,0.0107
2,0.0106
2,0.0103
2,0.0094
2,0.0078
2,0.0143
2,0.0115
2,0.0095
2,0.0064
2,0.0116
2,0.0108
2,0.0114
2,0.0111
2,0.0159
2,0.0138
2,0.0091
2,0.0155
2,0.0102
2,0.0078
2,0.0063
2,0.0092
2,0.0076
2,0.0135
2,0.0123
2,0.0099
2,0.0148
2,0.0084
2,0.0091
2,0.0131
2,0.0127
2,0.0165
2,0.0119
2,0.0141
2,0.0098
2,0.0074
2,0.0131
2,0.0105
2,0.0098
2,0.0121
2,0.008
2,0.0089
2,0.0128
2,0.0089
2,0.0149
2,0.0068
2,0.0107
2,0.0095
2,0.01
2,0.0105
2,0.0101
2,0.0145
2,0.0075
2,0.0085
2,0.0167
2,0.0128
2,0.0088
2,0.0096
2,0.0099
2,0.0057
2,0.0115
2,0.0098
2,0.0125
2,0.0152
2,0.0082
2,0.0079
2,0.0073
2,0.0065
2,0.0064
2,0.0082
2,0.0067
2,0.0071
2,0.0082
2,0.0141
2,0.0071
2,0.0073
2,0.0063
2,0.0075
2,0.0063
2,0.0077
2,0.007
2,0.0069
2,0.0071
2,0.0075
2,0.0068
2,0.0081
2,0.0072
2,0.0079
2,0.0084
2,0.0084
2,0.0081
2,0.0069
2,0.0086
2,0.0077
2,0.0083
2,0.0086
2,0.0089
2,0.0095
2,0.0087
2,0.009
2,0.0079
2,0.0079
2,0.0101
2,0.0124
2,0.0102
2,0.0078
2,0.0055
2,0.008
2,0.0078
2,0.006
2,0.0061
2,0.0064
2,0.0062
2,0.0078
2,0.005
2,0.0068
2,0.0077
2,0.0088
2,0.007
2,0.0075
2,0.0081
2,0.0079
2,0.0073
2,0.0073
2,0.0076
2,0.0056
2,0.0079
2,0.0079
2,0.0064
2,0.008
2,0.0094
2,0.0067
2,0.0077
2,0.0084
2,0.0081
2,0.0083
2,0.0071
2,0.0057
2,0.0073
2,0.0077
2,0.0066
2,0.0068
2,0.0068
2,0.008
2,0.0081
2,0.0088
2,0.0076
2,0.0082
2,0.0072
2,0.0084
2,0.0075
2,0.0081
2,0.0073
2,0.0079
2,0.0072
2,0.0082
2,0.0089
2,0.0073
2,0.0086
2,0.0085
2,0.0085
2,0.0075
2,0.0073
2,0.0093
2,0.0077
2,0.0089
2,0.0078
2,0.0087
2,0.0085
2,0.0077
2,0.0079
2,0.0077
2,0.0087
2,0.0122
2,0.0076
2,0.0074
2,0.0073
2,0.0088
2,0.0075
2,0.0083
2,0.0075
2,0.0085
2,0.0071
2,0.0076
2,0.0076
2,0.0092
2,0.0076
2,0.0088
2,0.0077
2,0.0081
2,0.0081
2,0.0077
2,0.008
2,0.0084
2,0.0085
2,0.007
2,0.0084
2,0.0068
2,0.0082
2,0.0085
2,0.0074
2,0.0088
2,0.0089
2,0.0075
2,0.0086
2,0.0074
2,0.0087
2,0.0078
2,0.0084
2,0.009
2,0.0092
2,0.0077
2,0.0079
2,0.0093
2,0.009
2,0.0088
2,0.01
2,0.0092
2,0.0098
2,0.0077
2,0.0156
2,0.0086
2,0.0096
2,0.0167
2,0.013
2,0.0138
2,0.0098
2,0.0132
2,0.0144
2,0.0097
2,0.0146
2,0.0129
2,0.0128
2,0.0083
2,0.0079
2,0.0123
2,0.0129
2,0.0122
2,0.0108
2,0.0078
2,0.0099
2,0.0141
2,0.0098
2,0.0139
2,0.008
2,0.0087
2,0.0088
2,0.008
2,0.008
2,0.0079
2,0.0092
2,0.008
2,0.0092
2,0.0091
2,0.0081
2,0.0079
2,0.0094
2,0.0094
2,0.0078
2,0.0076
2,0.0078
2,0.0088
2,0.0091
2,0.0081
2,0.0082
2,0.0091
2,0.0079
2,0.0091
2,0.0084
2,0.0095
2,0.0079
2,0.0092
2,0.0091
2,0.009
2,0.0095
2,0.0082
2,0.0143
2,0.0092
2,0.0082
2,0.0084
2,0.0081
2,0.0096
2,0.0094
2,0.0092
2,0.0095
2,0.0082
2,0.0093
2,0.0098
2,0.0083
2,0.0098
2,0.0079
2,0.0084
2,0.0085
2,0.0097
2,0.0096
2,0.0096
2,0.0086
2,0.0101
2,0.0101
2,0.0098
2,0.0101
2,0.0105
2,0.013
2,0.0143
2,0.0102
2,0.0089
2,0.0111
2,0.0163
2,0.0078
2,0.0083
2,0.0085
2,0.0087
2,0.0087
2,0.0093
2,0.0078
2,0.0089
2,0.0089
2,0.0096
2,0.0098
2,0.0083
2,0.0084
2,0.0083
2,0.0101
2,0.0117
2,0.0103
2,0.0086
2,0.0083
2,0.0096
2,0.0087
2,0.0077
2,0.0095
2,0.008
2,0.0082
2,0.0103
2,0.0093
2,0.0088
2,0.0088
2,0.0102
2,0.0098
2,0.0088
2,0.0089
2,0.0103
2,0.0088
2,0.01
2,0.0086
2,0.0103
2,0.0087
2,0.0099
2,0.009
2,0.0086
2,0.0087
2,0.0092
2,0.0089
2,0.0101
2,0.0091
2,0.0099
2,0.0097
2,0.0102
2,0.0089
2,0.0088
2,0.0107
2,0.0084
2,0.0104
2,0.0096
2,0.0091
2,0.0088
2,0.0089
2,0.0092
2,0.01
2,0.0105
2,0.0106
2,0.0098
2,0.0094
2,0.0094
2,0.0106
2,0.0094
2,0.0105
2,0.0106
2,0.0096
2,0.0104
2,0.0091
2,0.0102
2,0.0096
2,0.0094
2,0.0157
2,0.0095
2,0.0112
2,0.0096
2,0.0097
2,0.0093
2,0.0092
2,0.0097
2,0.0104
2,0.009
2,0.0089
2,0.0114
2,0.0097
2,0.0099
2,0.0086
2,0.0088
2,0.0107
2,0.01
2,0.011
2,0.0109
2,0.0102
2,0.0088
2,0.0105
2,0.0093
2,0.0097
2,0.009
2,0.0126
2,0.009
2,0.0101
2,0.0101
2,0.0092
2,0.0089
2,0.0099
2,0.0095
2,0.0093
2,0.0095
2,0.0102
2,0.0103
2,0.0094
2,0.0091
2,0.0095
2,0.0103
2,0.0091
2,0.0108
2,0.0108
2,0.0095
2,0.0107
2,0.0107
2,0.0121
2,0.0111
2,0.0108
2,0.0111
2,0.0096
2,0.0102
2,0.0092
2,0.0105
2,0.0104
2,0.0106
2,0.0098
2,0.0098
2,0.0097
2,0.0095
2,0.0102
2,0.0096
2,0.0108
2,0.0105
2,0.011
2,0.0108
2,0.0095
2,0.011
2,0.0095
2,0.0099
2,0.0099
2,0.0111
2,0.0099
2,0.0112
2,0.0108
2,0.0093
2,0.0095
2,0.011
2,0.0098
2,0.01
2,0.0115
2,0.0099
2,0.0097
2,0.0099
2,0.0119
2,0.0101
2,0.0116
2,0.0113
2,0.01
2,0.0114
2,0.0098
2,0.0111
2,0.0109
2,0.0106
2,0.011
2,0.0098
2,0.0098
2,0.0106
2,0.0114
2,0.0097
2,0.014
2,0.0109
2,0.0107
2,0.0101
2,0.0097
2,0.0114
2,0.0099
2,0.0102
2,0.0113
2,0.0102
2,0.0102
2,0.0109
2,0.0111
2,0.0111
2,0.0103
2,0.0104
2,0.012
2,0.0103
2,0.0113
2,0.0104
2,0.0112
2,0.0116
2,0.0105
2,0.0104
2,0.0112
2,0.0101
2,0.0103
2,0.0105
2,0.0112
2,0.0114
2,0.0106
2,0.0116
2,0.0113
2,0.0107
2,0.0108
2,0.0099
2,0.0103
2,0.0103
2,0.0114
2,0.0128
2,0.0121
2,0.011
2,0.0122
2,0.0109
2,0.0119
2,0.011
2,0.011
2,0.0138
2,0.0124
2,0.0113
2,0.0106
2,0.011
2,0.0108
2,0.0116
2,0.0102
2,0.0119
2,0.0102
2,0.01
2,0.0094
2,0.0104
2,0.0102
2,0.0107
2,0.0111
2,0.0122
2,0.0105
2,0.0104
2,0.0097
2,0.0108
2,0.0102
2,0.0144
2,0.0096
2,0.0101
2,0.0111
2,0.0109
2,0.0099
2,0.0096
2,0.0106
2,0.0102
2,0.0103
2,0.0106
2,0.011
2,0.0102
2,0.0131
2,0.011
2,0.0122
2,0.0112
2,0.0115
2,0.0112
2,0.0117
2,0.0082
2,0.0137
2,0.0097
2,0.0089
2,0.0101
2,0.0093
2,0.0101
2,0.0103
2,0.0095
2,0.0104
2,0.0098
2,0.0097
2,0.0104
2,0.0099
2,0.0099
2,0.0106
2,0.0099
2,0.0113
2,0.011
2,0.0101
2,0.0099
2,0.0099
2,0.0112
2,0.0122
2,0.0103
2,0.0113
2,0.0103
2,0.0104
2,0.011
2,0.0103
2,0.0118
2,0.0104
2,0.0115
2,0.0106
2,0.0113
2,0.0104
2,0.0104
2,0.0114
2,0.0114
2,0.0109
2,0.0105
2,0.0119
2,0.0103
2,0.0107
2,0.0112
2,0.0116
2,0.0106
2,0.0125
2,0.0116
2,0.0117
2,0.012
2,0.0122
2,0.0113
2,0.0128
2,0.011
2,0.0113
2,0.0117
2,0.0123
2,0.0114
2,0.0124
2,0.0115
2,0.0127
2,0.0115
2,0.0134
2,0.0127
2,0.0105
2,0.015
2,0.0165
2,0.0124
2,0.0114
2,0.0128
2,0.0108
2,0.0114
2,0.0109
2,0.0117
2,0.012
2,0.0145
2,0.0135
2,0.0139
2,0.0123
2,0.0103
2,0.011
2,0.0101
2,0.0104
2,0.012
2,0.0119
2,0.0113
2,0.0134
2,0.0114
2,0.0122
2,0.0107
2,0.0117
2,0.0089
2,0.0104
2,0.0132
2,0.012
2,0.013
2,0.0107
2,0.0122
2,0.0108
2,0.0113
2,0.0125
2,0.011
2,0.0109
2,0.0122
2,0.0118
2,0.0117
2,0.0086
2,0.0116
2,0.0108
2,0.0113
2,0.0135
2,0.0123
2,0.0147
2,0.0123
2,0.0144
2,0.0123
2,0.0144
2,0.0122
2,0.0118
2,0.0123
2,0.0114
2,0.0125
2,0.0122
2,0.0113
2,0.0123
2,0.0119
2,0.012
2,0.0144
2,0.0115
2,0.012
2,0.0147
2,0.0129
2,0.0119
2,0.0114
2,0.0118
2,0.0118
2,0.0131
2,0.0127
2,0.0141
2,0.0129
2,0.0125
2,0.0139
2,0.0151
2,0.0148
2,0.0121
2,0.0168
2,0.0125
2,0.0114
2,0.0118
2,0.0135
2,0.0134
2,0.0114
2,0.0115
2,0.0114
2,0.0116
2,0.0129
2,0.0118
2,0.012
2,0.0117
2,0.0118
2,0.0122
2,0.0131
2,0.0119
2,0.0137
2,0.0124
2,0.0166
2,0.012
2,0.0118
2,0.012
2,0.0133
2,0.0127
2,0.012
2,0.0138
2,0.0121
2,0.0119
2,0.0119
2,0.0123
2,0.0124
2,0.0124
2,0.0123
2,0.0125
2,0.0125
2,0.0125
2,0.0138
2,0.0124
2,0.0128
2,0.0129
2,0.0126
2,0.0138
2,0.0126
2,0.0127
2,0.0125
2,0.0128
2,0.0131
2,0.0122
2,0.0137
2,0.0127
2,0.0129
2,0.0156
2,0.014
2,0.0129
2,0.0133
2,0.013
2,0.0155
2,0.0128
2,0.0147
2,0.0124
2,0.0124
2,0.0135
2,0.0146
2,0.0131
2,0.0158
2,0.0145
2,0.0133
2,0.013
2,0.0159
2,0.0137
2,0.0138
2,0.0151
2,0.0144
2,0.0141
2,0.0135
2,0.0143
2,0.0157
2,0.0135
2,0.0151
2,0.016
2,0.0147
2,0.0134
2,0.0132
2,0.0109
2,0.0124
2,0.012
2,0.0121
2,0.0132
2,0.0163
2,0.0129
2,0.0126
2,0.0154
2,0.0129
2,0.0133
2,0.0129
2,0.0121
2,0.0127
2,0.0125
2,0.0159
2,0.0137
2,0.013
2,0.0136
2,0.0137
2,0.0139
2,0.0138
2,0.0122
2,0.0128
2,0.0154
2,0.0137
2,0.0134
2,0.0139
2,0.0143
2,0.0143
2,0.0136
2,0.0142
2,0.014
2,0.0141
2,0.014
2,0.013
2,0.0132
2,0.0136
2,0.0154
2,0.0148
2,0.0142
2,0.014
2,0.0139
2,0.0142
2,0.0134
2,0.0134
2,0.0135
2,0.0138
2,0.0135
2,0.014
2,0.014
2,0.0139
2,0.0155
2,0.0144
2,0.0161
2,0.0133
2,0.013
2,0.0157
2,0.013
2,0.0156
2,0.0152
2,0.0136
2,0.0136
2,0.0159
2,0.0138
2,0.0162
2,0.0139
2,0.0166
2,0.0139
2,0.0137
2,0.0134
2,0.014
2,0.0169
2,0.0138
2,0.0144
2,0.0143
2,0.0158
2,0.0159
2,0.018
2,0.0141
2,0.0142
2,0.0144
2,0.0148
2,0.0167
2,0.0148
2,0.0144
2,0.0148
2,0.0138
2,0.017
2,0.0154
2,0.0149
2,0.0162
2,0.0142
2,0.0153
2,0.0153
2,0.015
2,0.017
2,0.0173
2,0.0135
2,0.0134
2,0.0166
2,0.0137
2,0.0144
2,0.0167
2,0.014
2,0.0176
2,0.017
2,0.0152
2,0.0149
2,0.0172
2,0.0146
2,0.0176
2,0.0143
2,0.0142
2,0.0152
2,0.017
2,0.0173
2,0.0169
2,0.0149
2,0.0149
2,0.0151
2,0.0147
2,0.0166
2,0.0183
2,0.0171
2,0.0152
2,0.017
2,0.0153
2,0.016
2,0.0156
2,0.0152
2,0.0034
2,0.0036
2,0.0042
2,0.0029
2,0.0066
2,0.0032
2,0.0036
2,0.0054
2,0.0025
2,0.0017
2,0.0027
2,0.001
2,0.0032
2,0.0036
2,0.0046
2,0.0055
2,0.0026
2,0.0031
2,0.0028
2,0.0025
2,0.0012
2,0.0029
2,0.0033
2,0.0007
2,0.004
2,0.0027
2,0.0021
2,0.0039
2,0.0063
2,0.0024
2,0.0038
2,0.0028
2,0.0017
2,0.0065
2,0.0036
2,0.0018
2,0.0029
2,0.0021
2,0.0036
2,0.0025
2,0.0023
2,0.0092
2,0.0054
2,0.0025
2,0.0051
2,0.0041
2,0.0024
2,0.0036
2,0.005
2,0.0039
2,0.0027
2,0.005
2,0.0035
2,0.0038
2,0.0043
2,0.0052
2,0.0042
2,0.0003
2,0.0023
2,0.004
2,0.0028
2,0.0025
2,0.0025
2,0.0022
2,0.0046
2,0.0038
2,0.0033
2,0.0045
2,0.0022
2,0.0026
2,0.0039
2,0.0062
2,0.0017
2,0.0029
2,0.0036
2,0.0036
2,0.0031
2,0.0023
2,0.004
2,0.0002
2,0.0004
2,0.0049
2,0.0033
2,0.0035
2,0.0055
2,0.0022
2,0.0008
2,0.0025
2,0.0027
2,0.0016
2,0.006
2,0.0024
2,0.004
2,0.0023
2,0.0026
2,0.0014
2,0.0033
2,0.0022
2,0.0036
2,0.0069
2,0.0035
2,0.0033
2,0.0036
2,0.0023
2,0.0036
2,0.003
2,0.0041
2,0.0038
2,0.0054
2,0.0032
2,0.0022
2,0.0026
2,0.0002
2,0.0029
2,0.0022
2,0.0025
2,0.0031
2,0.0022
2,0.004
2,0.005
2,0.0025
2,0.0022
2,0.004
2,0.0042
2,0.0017
2,0.0028
2,0.0008
2,0.0026
2,0.0037
2,0.0028
2,0.0001
2,0.0023
2,0.0016
